,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,OFF,DEF,TOT,AST,TO,STL,BS,PF
35,김시래,서울 삼성,10.1,3.4,9.1,37.2,2.3,2.7,85.4,2.0,4.2,47.9,0.7,2.9,3.6,6.3,2.5,1.0,0.0,2.6
36,김종규,원주 DB,10.1,4.1,8.3,49.7,1.3,1.7,76.8,2.5,4.3,59.0,1.6,4.0,5.6,1.0,1.3,0.5,1.1,3.0
37,정성우,수원 KT,9.8,3.7,8.9,41.3,1.1,1.4,77.1,2.0,3.6,55.9,0.7,1.5,2.1,3.3,1.3,1.2,0.1,2.9
38,서명진,울산 현대모비스,9.7,3.6,8.6,42.2,0.9,1.3,75.0,1.4,2.8,51.7,0.4,2.1,2.5,4.5,2.0,0.4,0.0,1.9
39,이정현,고양 오리온,9.6,3.6,8.3,43.6,1.2,1.7,71.0,1.8,3.6,49.6,0.4,1.9,2.3,2.8,1.3,1.1,0.2,2.3
40,문성곤,안양 KGC,9.4,3.4,7.4,46.4,0.5,0.9,57.1,1.2,1.7,74.6,2.1,3.6,5.6,2.8,0.8,1.9,0.2,2.8
41,강상재,원주 DB,9.3,4.0,8.2,48.5,0.6,0.9,68.2,2.3,4.0,58.9,1.8,4.3,6.1,2.3,1.2,1.0,0.5,1.5
42,제임스 메이스,고양 오리온,9.0,3.2,9.0,35.8,1.8,3.0,59.3,2.2,5.4,40.8,3.1,3.4,6.6,2.4,1.1,0.6,0.6,2.7
43,송교창,전주 KCC,8.9,3.6,9.4,38.6,0.6,1.1,56.3,1.9,3.2,57.8,0.6,3.6,4.1,1.7,1.4,0.9,0.6,1.9
44,김지완,전주 KCC,8.6,3.0,7.9,38.4,1.1,1.6,69.6,1.3,2.7,48.1,0.2,1.4,1.6,3.0,1.2,0.7,0.0,2.2
45,미로슬라브 라둘리차,고양 오리온,8.3,3.1,6.6,47.8,1.5,2.0,76.2,2.2,3.9,56.8,1.0,4.0,5.0,1.7,1.8,0.5,0.3,2.4
46,한호빈,고양 오리온,8.3,2.8,6.2,44.9,1.3,1.7,76.1,1.1,1.7,66.7,0.3,1.9,2.1,2.9,1.3,0.9,0.0,2.2
47,정창영,전주 KCC,7.9,2.6,5.8,45.2,1.7,2.4,70.4,1.5,2.4,60.6,0.3,2.2,2.5,2.1,1.4,0.7,0.1,1.7
48,정희재,창원 LG,7.6,2.6,5.8,44.3,1.3,1.8,74.6,1.1,1.7,60.6,0.8,2.3,3.1,1.0,0.8,0.6,0.1,3.0
49,김국찬,울산 현대모비스,7.5,2.7,7.2,37.2,0.5,0.6,80.0,0.3,0.7,50.0,0.4,1.5,1.9,1.3,1.0,0.8,0.1,2.1
50,이동엽,서울 삼성,7.4,2.6,7.1,37.0,1.1,1.6,68.2,1.4,2.6,51.4,1.7,2.6,4.3,2.5,1.5,1.1,0.0,2.4
51,이원석,서울 삼성,7.4,2.9,5.6,51.6,1.5,2.2,67.6,2.4,4.2,58.4,1.7,2.2,3.9,0.3,1.2,0.7,0.7,2.5
52,임동섭,서울 삼성,7.3,2.7,8.4,32.3,0.4,0.5,70.6,0.8,1.9,43.3,0.9,2.4,3.3,1.0,0.5,0.3,0.1,2.4
53,이용우,원주 DB,7.2,2.7,5.3,50.0,0.3,0.7,50.0,0.5,1.2,42.9,0.7,1.0,1.7,0.5,0.7,0.3,0.0,1.0
54,김동욱,수원 KT,7.1,2.5,6.8,36.3,0.5,0.6,77.3,0.3,0.8,33.3,0.3,1.6,1.9,2.9,1.3,0.6,0.1,1.2
55,하윤기,수원 KT,7.1,2.9,4.9,57.9,1.4,2.0,68.5,2.7,4.4,62.4,1.9,2.3,4.1,0.4,1.0,0.4,0.6,1.6
56,김상규,전주 KCC,7.0,2.6,5.0,51.3,1.1,1.6,71.7,1.8,2.6,67.7,1.6,2.3,3.9,1.3,0.7,0.5,0.3,1.4
57,디제이 화이트,대구 한국가스공사,7.0,2.7,5.3,51.4,0.9,1.3,66.7,1.3,2.0,64.3,1.0,4.3,5.3,1.0,1.1,0.1,1.1,1.3
58,유현준,전주 KCC,6.9,2.3,5.6,40.5,1.5,1.8,83.1,1.0,2.0,52.1,0.3,1.5,1.7,3.0,1.8,1.0,0.1,1.5
59,대릴 먼로,안양 KGC,6.8,2.6,5.6,46.5,1.0,1.5,69.4,1.9,2.9,65.6,1.2,3.8,4.9,2.3,1.2,0.5,0.2,1.3
60,전현우,대구 한국가스공사,6.8,2.3,5.7,39.9,0.7,0.9,75.7,0.6,1.2,48.9,0.6,1.4,2.1,0.7,0.4,0.5,0.1,1.9
61,김동량,서울 삼성,6.7,3.0,5.5,54.5,0.3,0.5,66.7,2.3,3.2,71.9,1.6,2.4,4.0,1.4,0.7,0.4,0.1,2.1
62,김현수,서울 삼성,6.6,2.3,7.1,32.6,0.8,0.9,85.7,0.7,1.8,36.8,0.2,1.4,1.6,1.0,0.8,0.3,0.1,1.6
63,김영환,수원 KT,6.5,2.5,6.1,40.3,0.6,0.8,75.0,1.0,2.0,50.7,0.8,1.3,2.1,1.3,0.5,0.4,0.1,1.4
64,이근휘,전주 KCC,6.3,2.3,5.3,43.0,0.5,0.7,72.7,0.9,1.1,87.5,0.5,0.4,0.9,0.7,0.3,0.6,0.0,1.4
65,허일영,서울 SK,6.3,2.3,5.3,42.8,0.9,1.1,80.5,0.8,1.5,51.8,0.9,1.6,2.5,0.3,0.4,0.6,0.1,2.2
66,장민국,서울 삼성,6.2,2.3,5.6,40.5,0.3,0.5,60.0,0.6,1.3,48.6,0.5,1.7,2.3,0.6,0.7,0.4,0.2,2.5
67,정호영,원주 DB,6.2,2.4,6.1,39.6,0.7,0.8,88.9,1.4,2.5,57.1,0.5,1.4,1.9,2.3,1.4,0.5,0.3,1.8
68,장재석,울산 현대모비스,6.1,2.5,5.4,45.7,1.2,2.0,59.0,2.2,4.6,47.8,1.1,2.1,3.2,1.1,0.9,0.5,0.6,2.1
69,김준일,창원 LG,6.0,3.0,4.0,75.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,4.0
70,라타비우스 윌리엄스,전주 KCC,6.0,2.5,4.3,58.2,0.9,1.6,55.9,2.3,3.7,62.7,1.9,2.6,4.5,0.3,0.4,0.4,0.2,1.5
71,이승우,창원 LG,6.0,2.4,4.9,49.2,0.9,1.6,52.3,1.7,2.9,60.3,1.2,2.4,3.6,0.8,0.9,0.6,0.1,1.9
72,김강선,고양 오리온,5.9,2.0,4.7,42.0,0.7,0.8,87.0,0.6,1.1,58.1,0.5,0.8,1.2,1.0,0.5,0.5,0.1,1.7
73,마이크 마이어스,수원 KT,5.8,2.5,4.2,60.8,0.8,1.7,46.0,2.5,4.1,61.0,1.6,3.0,4.7,1.1,1.2,0.7,0.3,2.0
74,서민수,창원 LG,5.8,2.2,6.1,36.2,0.3,0.5,57.1,0.7,1.4,46.4,1.3,1.6,2.9,1.0,0.6,0.3,0.2,2.7
75,이준희,원주 DB,5.7,2.5,5.2,47.4,0.3,0.4,63.6,1.9,3.2,58.3,0.8,0.8,1.5,1.4,0.5,0.6,0.2,1.5
76,전준범,전주 KCC,5.3,1.8,4.6,38.2,0.7,0.9,76.2,0.5,1.0,54.2,0.3,1.6,2.0,0.8,0.5,0.4,0.2,1.1
77,압둘 말릭 아부,창원 LG,5.1,2.2,4.4,50.4,0.4,1.3,35.3,2.0,3.5,55.8,1.1,2.0,3.1,0.3,0.9,0.3,0.6,1.6
78,박지훈,안양 KGC,5.0,2.0,4.5,44.2,0.5,1.1,43.5,1.4,2.4,56.9,0.4,0.7,1.1,2.2,0.7,0.5,0.0,2.3
79,박찬희,원주 DB,5.0,2.0,6.1,32.6,0.5,1.1,47.5,1.0,2.1,46.2,0.5,1.8,2.2,3.9,1.1,1.0,0.0,1.8
80,이종현,고양 오리온,5.0,1.9,3.8,49.1,1.2,1.3,94.4,0.8,1.7,45.8,0.6,1.9,2.5,0.4,0.9,0.4,0.4,0.8
81,최진수,울산 현대모비스,4.8,1.8,4.9,37.8,0.6,0.7,80.8,0.9,1.7,56.3,0.4,1.3,1.7,0.8,0.5,0.6,0.4,1.5
82,송창용,전주 KCC,4.7,1.6,3.9,41.5,0.9,1.0,83.9,0.8,1.4,58.1,0.5,1.4,1.9,0.8,0.4,0.4,0.0,1.1
83,이현민,울산 현대모비스,4.7,1.6,3.6,46.0,0.7,0.9,77.1,0.7,1.5,50.9,0.5,1.2,1.6,3.6,1.3,0.7,0.0,1.9
84,최부경,서울 SK,4.7,2.1,3.9,52.1,0.6,0.9,68.8,1.4,2.2,62.5,1.2,1.9,3.0,0.6,0.6,0.6,0.2,1.9
85,박정현,창원 LG,4.4,1.9,4.5,42.1,0.5,0.8,59.1,0.9,2.1,44.6,1.5,1.9,3.4,0.6,1.0,0.6,0.2,2.1
86,사마르도 사무엘스,창원 LG,4.4,1.7,4.3,38.5,0.8,1.2,64.3,1.3,2.8,47.1,0.4,1.7,2.1,0.5,0.8,0.1,0.1,1.4
87,홍경기,대구 한국가스공사,4.4,1.6,3.4,45.6,0.6,0.8,72.2,0.7,1.0,62.5,0.5,0.5,1.0,0.8,0.3,0.2,0.0,1.5
88,김현호,원주 DB,4.3,1.5,3.9,37.2,0.4,0.4,100.0,0.4,0.8,44.4,0.3,0.8,1.1,1.0,0.7,0.4,0.0,1.9
89,김동준,울산 현대모비스,4.1,1.6,3.3,47.5,0.3,0.3,100.0,0.7,1.2,59.1,0.1,0.9,1.1,1.3,0.7,0.6,0.0,0.4
90,정준원,원주 DB,4.0,1.7,3.5,49.0,0.2,0.2,83.3,1.2,2.1,58.6,0.7,0.9,1.5,0.3,0.4,0.5,0.1,1.2
91,천기범,서울 삼성,4.0,1.6,3.8,41.2,0.7,1.1,60.0,1.0,1.7,60.0,0.7,1.2,1.9,2.2,1.2,0.4,0.3,2.9
92,에릭 버크너,울산 현대모비스,3.8,1.6,2.2,73.0,0.6,1.1,57.9,1.5,2.0,76.5,0.6,2.6,3.2,0.3,0.9,0.1,0.3,1.2
93,최현민,고양 오리온,3.8,1.4,3.7,36.8,0.5,0.7,65.2,0.6,1.2,52.6,1.1,0.7,1.9,0.6,0.5,0.5,0.1,1.0
94,차민석,서울 삼성,3.7,1.4,3.3,41.8,0.8,1.1,75.0,1.1,2.3,47.1,1.0,0.8,1.9,0.4,0.6,0.1,0.2,1.6
95,박재현,전주 KCC,3.6,1.3,3.1,40.8,0.6,0.7,82.4,0.7,1.4,50.0,0.0,0.5,0.6,1.9,0.8,0.2,0.0,2.3
96,조상열,대구 한국가스공사,3.6,1.2,3.3,36.3,0.4,0.5,80.0,0.2,0.6,37.5,0.5,0.5,1.0,0.9,0.4,0.4,0.0,1.6
97,차바위,대구 한국가스공사,3.6,1.4,3.6,37.3,0.5,0.6,83.3,0.8,1.3,59.5,1.2,3.0,4.3,2.1,0.6,0.6,0.1,2.9
98,박경상,원주 DB,3.4,0.8,2.9,26.9,1.2,1.6,78.6,0.1,0.4,25.0,0.6,1.4,2.0,1.3,1.0,0.2,0.0,1.3
99,박지원,수원 KT,3.4,1.3,3.2,40.5,0.7,0.9,75.0,1.1,2.0,53.2,0.4,1.0,1.4,1.6,0.7,0.7,0.1,1.3
100,변기훈,창원 LG,3.4,1.2,3.4,34.9,0.4,0.7,58.8,0.6,1.1,50.0,0.6,0.6,1.2,0.7,0.4,0.5,0.0,1.6
101,김철욱,원주 DB,3.3,1.3,3.4,37.5,0.4,0.6,66.7,0.6,1.2,54.5,0.3,0.9,1.3,0.4,0.5,0.2,0.3,1.8
102,오재현,서울 SK,3.2,1.2,2.8,42.0,0.6,0.9,63.3,0.7,1.3,53.7,0.5,0.9,1.4,1.2,0.5,0.4,0.2,2.1
103,최성모,수원 KT,3.2,1.2,1.8,66.7,0.6,1.0,60.0,1.0,1.2,83.3,0.4,0.2,0.6,1.0,0.4,0.4,0.0,1.6
104,신민석,울산 현대모비스,3.1,1.2,2.7,44.0,0.3,0.4,64.3,0.7,0.9,79.3,0.7,0.8,1.5,0.5,0.5,0.4,0.1,0.9
105,강바일,서울 삼성,3.0,1.1,3.1,35.5,0.2,0.2,100.0,0.3,0.6,50.0,0.1,0.4,0.5,0.1,0.4,0.2,0.0,1.5
106,박민우,서울 삼성,3.0,1.0,2.8,35.7,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.8,0.0,0.2,0.2,0.0,1.2
107,양희종,안양 KGC,3.0,1.1,3.4,31.0,0.1,0.4,33.3,0.2,0.8,28.6,0.6,1.0,1.6,0.5,0.5,0.5,0.5,1.6
108,이민석,원주 DB,3.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
109,김훈,원주 DB,2.9,1.1,2.9,37.1,0.1,0.2,50.0,0.3,0.4,60.0,0.7,0.5,1.2,0.3,0.2,0.1,0.2,1.3
110,신승민,대구 한국가스공사,2.9,1.1,2.5,41.8,0.4,0.6,71.4,0.5,1.2,41.9,0.9,1.1,2.0,1.1,0.8,0.4,0.1,2.5
111,정성호,울산 현대모비스,2.9,1.0,2.7,36.7,0.0,0.0,0.0,0.1,0.2,50.0,0.3,0.7,1.0,0.5,0.0,0.3,0.1,0.2
112,김영현,울산 현대모비스,2.8,1.0,2.6,38.6,0.2,0.5,37.5,0.2,0.5,50.0,0.2,0.6,0.8,0.5,0.1,0.4,0.2,1.8
113,나카무라 타이치,원주 DB,2.8,1.0,3.7,26.9,0.3,0.3,100.0,0.5,1.2,40.0,0.2,1.1,1.3,1.2,0.6,0.4,0.0,1.1
114,김종호,창원 LG,2.7,0.7,1.7,40.0,0.7,0.7,100.0,0.0,0.7,0.0,0.3,0.7,1.0,0.0,0.3,0.7,0.0,2.3
115,김현민,수원 KT,2.7,1.0,2.7,39.3,0.3,0.5,66.7,0.8,1.2,64.3,0.7,0.8,1.6,0.2,0.4,0.6,0.0,1.7
116,윤원상,창원 LG,2.7,1.0,2.7,36.8,0.1,0.3,50.0,0.4,0.6,62.5,0.3,0.3,0.6,0.4,0.1,0.2,0.0,1.1
117,한승희,안양 KGC,2.7,1.2,2.2,54.3,0.2,0.3,77.8,0.5,0.8,65.4,0.8,0.6,1.4,0.3,0.3,0.2,0.1,1.7
118,강병현,창원 LG,2.6,0.9,2.1,41.3,0.4,0.5,72.2,0.3,0.5,68.8,0.2,0.6,0.7,0.4,0.4,0.1,0.1,1.6
119,리온 윌리엄스,서울 SK,2.6,1.1,2.6,41.8,0.4,0.6,70.8,0.6,1.3,46.9,0.9,1.6,2.5,0.2,0.4,0.4,0.2,1.4
120,유병훈,전주 KCC,2.6,0.9,2.5,38.3,0.3,0.4,85.7,0.3,0.9,35.3,0.1,0.4,0.5,0.8,0.3,0.4,0.1,1.3
121,곽정훈,전주 KCC,2.3,0.9,1.6,55.6,0.2,0.5,40.0,0.6,1.1,58.3,0.3,0.8,1.1,0.0,0.1,0.1,0.0,1.3
122,윤호영,원주 DB,2.3,0.9,2.2,39.4,0.2,0.4,45.5,0.4,0.9,46.4,0.8,1.6,2.4,1.0,0.7,0.5,0.3,1.5
123,조석호,고양 오리온,2.3,1.0,3.0,33.3,0.0,0.0,0.0,0.8,1.5,50.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0
124,조한진,고양 오리온,2.3,0.7,2.4,30.0,0.4,0.5,81.8,0.3,0.6,50.0,0.2,0.9,1.0,0.4,0.1,0.4,0.1,0.8
125,한희원,수원 KT,2.3,0.8,1.8,42.9,0.5,1.3,40.0,0.5,0.8,66.7,0.5,0.5,1.0,0.8,0.0,0.3,0.3,1.0
126,김수찬,울산 현대모비스,2.2,0.9,1.8,50.0,0.1,0.1,100.0,0.6,0.8,75.0,0.3,0.3,0.6,0.7,0.3,0.4,0.0,1.1
127,김영훈,원주 DB,2.2,0.7,2.5,29.9,0.1,0.5,30.8,0.2,0.4,41.7,0.7,0.6,1.3,0.3,0.2,0.2,0.0,1.3
128,배병준,서울 SK,2.2,0.8,1.5,50.0,0.3,0.4,80.0,0.1,0.3,33.3,0.1,0.3,0.3,0.2,0.3,0.1,0.0,0.2
129,양우섭,서울 SK,2.2,0.9,1.8,50.0,0.1,0.2,75.0,0.4,0.8,55.0,0.4,0.4,0.8,1.0,0.3,0.3,0.0,0.6
130,임종일,고양 오리온,2.2,0.8,1.9,42.9,0.2,0.4,50.0,0.1,0.4,33.3,0.5,0.7,1.2,0.7,0.4,0.2,0.1,1.5
131,박준영,수원 KT,2.1,0.9,1.9,48.6,0.2,0.4,37.5,0.8,1.3,65.2,0.3,0.8,1.1,0.6,0.1,0.1,0.0,1.1
132,한상혁,창원 LG,2.1,0.7,1.7,42.5,0.3,0.3,87.5,0.2,0.6,35.7,0.2,0.5,0.8,1.0,0.5,0.2,0.0,0.8
133,곽동기,전주 KCC,2.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
134,전형준,서울 삼성,2.0,0.6,2.3,27.9,0.3,0.4,75.0,0.1,0.5,14.3,0.1,0.4,0.5,0.7,0.3,0.3,0.0,1.8
135,최원혁,서울 SK,2.0,0.7,1.8,37.9,0.3,0.4,68.8,0.3,0.6,45.5,0.9,1.3,2.2,1.7,0.5,0.6,0.0,2.4
136,양준우,대구 한국가스공사,1.9,0.6,1.4,44.4,0.2,0.3,66.7,0.2,0.3,60.0,0.2,0.7,0.8,0.9,0.6,0.1,0.0,0.8
137,이광진,창원 LG,1.9,0.6,1.9,33.3,0.1,0.1,50.0,0.1,0.2,66.7,0.4,0.8,1.2,0.2,0.3,0.3,0.2,1.2
138,최창진,수원 KT,1.9,0.7,2.0,34.0,0.5,0.6,75.0,0.5,0.8,57.1,0.5,1.0,1.5,1.0,0.4,0.4,0.0,1.9
139,문상옥,수원 KT,1.8,0.8,1.5,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.5,0.8,0.0,0.0,0.3,0.0,0.3
140,이진욱,전주 KCC,1.8,0.7,1.8,38.6,0.2,0.3,77.8,0.4,0.7,59.1,0.3,0.5,0.8,1.1,0.6,0.2,0.0,1.4
141,박지훈,울산 현대모비스,1.6,0.6,2.0,31.3,0.0,0.3,16.7,0.3,0.4,60.0,0.6,0.9,1.5,0.3,0.2,0.3,0.0,1.3
142,문시윤,고양 오리온,1.5,0.8,1.0,75.0,0.0,0.5,0.0,0.8,1.0,75.0,0.8,0.5,1.3,0.0,0.0,0.0,0.0,0.5
143,윤성준,울산 현대모비스,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0
144,정준수,서울 삼성,1.5,0.5,2.0,25.0,0.5,1.0,50.0,0.5,1.0,50.0,1.5,0.5,2.0,1.0,0.0,0.0,0.0,1.5
145,정해원,창원 LG,1.5,0.5,1.4,37.5,0.1,0.1,50.0,0.1,0.2,50.0,0.2,0.5,0.8,0.2,0.1,0.4,0.0,1.2
146,민성주,대구 한국가스공사,1.4,0.7,1.1,61.1,0.0,0.1,0.0,0.3,0.4,66.7,0.4,0.6,1.0,0.1,0.1,0.1,0.3,1.4
147,우동현,안양 KGC,1.4,0.5,2.4,21.1,0.1,0.3,50.0,0.3,0.4,60.0,0.2,0.3,0.5,0.3,0.0,0.4,0.0,0.7
148,이호현,서울 삼성,1.4,0.7,2.5,28.1,0.0,0.2,0.0,0.5,1.1,42.9,0.2,1.0,1.2,1.2,0.6,0.2,0.0,0.4
149,함준후,안양 KGC,1.4,0.6,1.5,39.2,0.0,0.0,0.0,0.3,0.5,58.8,0.7,0.5,1.1,0.4,0.1,0.3,0.1,1.3
150,김세창,고양 오리온,1.3,0.4,1.1,40.0,0.3,0.4,75.0,0.3,0.6,60.0,0.0,0.2,0.2,0.6,0.3,0.3,0.0,0.8
151,김준환,수원 KT,1.3,0.5,1.0,50.0,0.3,0.3,100.0,0.5,0.7,75.0,0.2,0.3,0.5,0.3,0.2,0.3,0.0,0.3
152,이현석,서울 SK,1.3,0.5,1.5,31.9,0.1,0.1,75.0,0.2,0.3,63.6,0.2,0.8,1.0,0.3,0.2,0.3,0.0,1.1
153,정영삼,대구 한국가스공사,1.3,0.5,1.7,31.6,0.2,0.3,66.7,0.4,0.8,55.6,0.2,0.6,0.7,0.5,0.2,0.4,0.0,1.2
154,조우성,서울 삼성,1.3,0.3,1.3,25.0,0.7,0.7,100.0,0.3,0.7,50.0,1.0,1.3,2.3,0.0,0.3,0.0,0.3,1.3
155,주현우,안양 KGC,1.3,0.7,1.3,50.0,0.0,0.0,0.0,0.7,1.3,50.0,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.7
156,배수용,서울 삼성,1.2,0.5,1.2,40.7,0.1,0.3,33.3,0.3,0.4,66.7,0.5,0.7,1.2,0.4,0.2,0.2,0.2,0.8
157,김진유,고양 오리온,1.1,0.4,1.4,27.8,0.2,0.2,100.0,0.2,0.5,35.7,0.6,0.8,1.4,0.5,0.1,0.3,0.0,1.2
158,박상권,원주 DB,1.1,0.4,0.9,50.0,0.0,0.0,0.0,0.1,0.3,50.0,0.0,0.1,0.1,0.0,0.3,0.0,0.0,1.1
159,오용준,고양 오리온,1.1,0.4,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.2,0.3,0.1,0.7
