,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,OFF,DEF,TOT,AST,TO,STL,BS,PF
160,이윤기,대구 한국가스공사,1.1,0.4,1.3,27.3,0.1,0.2,50.0,0.1,0.3,40.0,0.2,0.4,0.6,0.3,0.4,0.1,0.1,1.7
161,최승욱,고양 오리온,1.1,0.5,0.9,52.4,0.2,0.2,100.0,0.4,0.6,64.3,0.5,0.3,0.8,0.3,0.2,0.2,0.1,0.4
162,김동현,전주 KCC,1.0,0.0,0.5,0.0,1.0,2.0,50.0,0.0,0.3,0.0,0.0,0.3,0.3,0.8,0.0,0.0,0.0,1.0
163,정희원,서울 삼성,1.0,0.3,1.3,20.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.3,0.5,0.3,2.3
164,박인태,창원 LG,0.9,0.4,1.1,37.5,0.0,0.0,0.0,0.4,0.7,60.0,0.3,1.0,1.3,0.0,0.1,0.1,0.1,0.3
165,이정제,고양 오리온,0.9,0.4,0.9,50.0,0.1,0.1,50.0,0.3,0.5,62.5,0.4,0.4,0.8,0.3,0.3,0.1,0.1,0.6
166,김승원,서울 SK,0.7,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,1.0,0.3,0.0,0.0,0.3,0.7
167,박진철,고양 오리온,0.7,0.3,0.6,57.1,0.0,0.2,0.0,0.3,0.5,50.0,0.4,0.8,1.2,0.0,0.1,0.3,0.3,1.0
168,이우정,안양 KGC,0.7,0.3,1.2,27.3,0.0,0.0,0.0,0.2,0.3,50.0,0.3,0.1,0.3,0.3,0.2,0.2,0.0,0.9
169,임준수,대구 한국가스공사,0.4,0.2,0.7,33.3,0.0,0.0,0.0,0.1,0.1,100.0,0.1,0.1,0.2,0.2,0.3,0.0,0.0,0.2
170,배강률,원주 DB,0.3,0.2,0.2,100.0,0.0,0.0,0.0,0.2,0.2,100.0,0.3,0.7,1.0,0.0,0.2,0.2,0.0,0.3
171,정인덕,창원 LG,0.3,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.3,50.0,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.2
172,박봉진,대구 한국가스공사,0.1,0.0,0.4,0.0,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.3
173,김민욱,수원 KT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,김윤태,수원 KT,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.3
175,김종범,수원 KT,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
176,김진용,전주 KCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,김형빈,서울 SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,맹상훈,원주 DB,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,박세진,전주 KCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,박재한,안양 KGC,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.5,1.0,0.0,0.0,0.8
181,박형철,안양 KGC,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.0,0.0,1.1
182,양승면,안양 KGC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7
183,이도헌,대구 한국가스공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,이원대,서울 SK,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.6,0.2,0.0,0.8
185,장문호,서울 SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,정강호,안양 KGC,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.8
